contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiry,spot,dividendYield
SPY250411C00530000,2025-04-04 20:14:57+00:00,530.0,4.24,4.23,4.25,-10.51,-71.25424,23778.0,155,0.4931691308593751,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00531000,2025-04-04 20:14:06+00:00,531.0,3.8,3.91,3.98,-10.3,-73.049644,2313.0,61,0.4901174035644532,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00532000,2025-04-04 20:14:58+00:00,532.0,3.7,3.65,3.72,-10.12,-73.22721,4076.0,57,0.4870046417236329,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00533000,2025-04-04 20:14:57+00:00,533.0,3.44,3.4,3.49,-9.32,-73.04075,1584.0,58,0.4848684326171875,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00534000,2025-04-04 20:13:36+00:00,534.0,3.02,3.17,3.26,-9.49,-75.85931,1152.0,104,0.4823049816894531,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00535000,2025-04-04 20:14:58+00:00,535.0,3.05,2.94,3.05,-8.5199995,-73.63872,7257.0,388,0.4801077380371094,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00536000,2025-04-04 20:12:40+00:00,536.0,2.7,2.73,2.84,-8.31,-75.476845,2758.0,372,0.4774222180175781,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00537000,2025-04-04 20:12:42+00:00,537.0,2.5,2.53,2.65,-7.7700005,-75.65726,3605.0,131,0.4753470434570312,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00538000,2025-04-04 20:14:14+00:00,538.0,2.3,2.34,2.47,-7.39,-76.2642,2637.0,274,0.4733939379882813,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00539000,2025-04-04 20:12:40+00:00,539.0,2.16,2.17,2.28,-7.13,-76.74919,3251.0,288,0.47009807250976565,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00540000,2025-04-04 20:14:40+00:00,540.0,1.98,2.0,2.11,-6.77,-77.37143,29027.0,2418,0.4674125524902344,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00541000,2025-04-04 20:13:36+00:00,541.0,1.78,1.84,1.95,-6.3200006,-78.0247,2085.0,546,0.46484910156250003,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00542000,2025-04-04 20:14:32+00:00,542.0,1.74,1.7,1.8,-5.9799995,-77.461136,2990.0,1832,0.4624077197265626,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00543000,2025-04-04 20:13:36+00:00,543.0,1.51,1.56,1.66,-5.7200003,-79.1148,3394.0,1309,0.459966337890625,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00544000,2025-04-04 20:13:36+00:00,544.0,1.39,1.43,1.53,-5.35,-79.37686,1867.0,610,0.4577690942382813,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00545000,2025-04-04 20:14:54+00:00,545.0,1.35,1.31,1.4,-4.85,-78.22581,7377.0,3077,0.45483943603515625,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00546000,2025-04-04 20:13:36+00:00,546.0,1.16,1.2,1.29,-4.77,-80.43845,3021.0,1020,0.45300839965820316,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00547000,2025-04-04 20:12:51+00:00,547.0,1.11,1.1,1.18,-4.3199997,-79.55801,4111.0,1994,0.45044494873046875,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00548000,2025-04-04 20:13:55+00:00,548.0,1.02,1.0,1.08,-3.92,-79.35223,2727.0,1179,0.44824770507812495,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00549000,2025-04-04 20:14:57+00:00,549.0,0.98,0.91,0.99,-3.46,-77.92793,1241.0,408,0.44653873779296877,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00550000,2025-04-04 20:14:54+00:00,550.0,0.86,0.87,0.88,-3.48,-80.184326,28594.0,4697,0.44165597412109375,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00551000,2025-04-04 20:13:36+00:00,551.0,0.76,0.76,0.83,-3.23,-80.9524,3225.0,1341,0.44312080322265623,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00552000,2025-04-04 20:14:13+00:00,552.0,0.73,0.69,0.75,-2.87,-79.72222,3545.0,1016,0.44043528320312497,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00553000,2025-04-04 20:12:51+00:00,553.0,0.64,0.63,0.69,-2.7199998,-80.95238,2609.0,1390,0.43945873046875,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00554000,2025-04-04 20:14:41+00:00,554.0,0.63,0.57,0.63,-2.42,-79.34427,1836.0,940,0.4379939013671875,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00555000,2025-04-04 20:14:50+00:00,555.0,0.55,0.55,0.57,-2.21,-80.0725,5634.0,2549,0.43604079589843747,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00556000,2025-04-04 20:13:36+00:00,556.0,0.47,0.47,0.52,-1.98,-80.81633,1200.0,1061,0.4348201049804688,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00557000,2025-04-04 20:13:25+00:00,557.0,0.43,0.45,0.48,-1.71,-79.90654,557.0,1915,0.43457596679687505,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00558000,2025-04-04 20:13:11+00:00,558.0,0.39,0.38,0.44,-1.62,-80.597,1399.0,1335,0.43408769042968753,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00559000,2025-04-04 20:13:00+00:00,559.0,0.36,0.35,0.39,-1.33,-78.69823,950.0,1229,0.43115803222656257,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00560000,2025-04-04 20:14:29+00:00,560.0,0.33,0.31,0.36,-1.27,-79.375,18692.0,6209,0.43115803222656257,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00561000,2025-04-04 20:13:36+00:00,561.0,0.3,0.28,0.33,-1.0799999,-78.260864,2071.0,2690,0.43066975585937506,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00562000,2025-04-04 20:13:00+00:00,562.0,0.27,0.26,0.3,-0.96000004,-78.04878,1216.0,2560,0.42969320312500003,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00562500,2025-04-04 20:13:11+00:00,562.5,0.25,0.24,0.29,-0.88,-77.8761,10751.0,690,0.43066975585937506,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00563000,2025-04-04 20:13:02+00:00,563.0,0.24,0.23,0.28,-0.86,-78.181816,1054.0,2284,0.43115803222656257,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00564000,2025-04-04 20:13:19+00:00,564.0,0.22,0.22,0.25,-0.75,-77.31959,840.0,1442,0.4292049267578125,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00565000,2025-04-04 20:14:44+00:00,565.0,0.19,0.19,0.23,-0.66,-77.64706,3739.0,10349,0.4292049267578125,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00566000,2025-04-04 20:14:57+00:00,566.0,0.18,0.17,0.21,-0.56,-75.675674,976.0,1279,0.428716650390625,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00567000,2025-04-04 20:13:25+00:00,567.0,0.16,0.15,0.19,-0.47,-74.60318,425.0,1488,0.42774009765625004,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00568000,2025-04-04 20:12:45+00:00,568.0,0.15,0.13,0.18,-0.4,-72.72727,226.0,3415,0.43018147949218755,False,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
